Step,Scaffold,SMILES,Metadata,Full Substructure,total_score,ID
387.0,c1ccc2[nH]cnc2c1,c1ccc2[nH]cnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_18
387.0,CCOc1ccc(NC(=O)Cc2ccc(OC)cc2)cc1,CCOc1ccc(NC(=O)Cc2ccc(OC)cc2)cc1,,0.5,0.5,Automated Curriculum Learning Demo_19
387.0,Cc1ncco1,Cc1ncco1,,0.5,0.5,Automated Curriculum Learning Demo_20
387.0,c1ccn2nccc2c1,c1ccn2nccc2c1,,0.5,0.5,Automated Curriculum Learning Demo_21
387.0,COc1ccc(-c2cc3ncccc3o2)cc1,COc1ccc(-c2cc3ncccc3o2)cc1,,0.5,0.5,Automated Curriculum Learning Demo_22
387.0,Cc1cccc2ncnn12,Cc1cccc2ncnn12,,0.5,0.5,Automated Curriculum Learning Demo_23
387.0,Nc1cn2ccccc2n1,Nc1cn2ccccc2n1,,0.5,0.5,Automated Curriculum Learning Demo_24
387.0,N=c1[nH]c(-c2cccs2)cs1,N=c1[nH]c(-c2cccs2)cs1,,0.5,0.5,Automated Curriculum Learning Demo_25
387.0,Clc1cnc2cccnc2c1,Clc1cnc2cccnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_26
387.0,O=C(O)Cc1cccc2cccnc12,O=C(O)Cc1cccc2cccnc12,,0.5,0.5,Automated Curriculum Learning Demo_27
387.0,c1cnc2ocnc2c1,c1cnc2ocnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_28
387.0,c1cnc2ncccc2c1,c1cnc2ncccc2c1,,0.5,0.5,Automated Curriculum Learning Demo_29
387.0,Cc1cc(=NC(=O)CCc2c(C)noc2C)[nH]o1,Cc1cc(=NC(=O)CCc2c(C)noc2C)[nH]o1,,0.5,0.5,Automated Curriculum Learning Demo_30
387.0,Cn1cnc2c(ccc3ncccc32)c1=O,Cn1cnc2c(ccc3ncccc32)c1=O,,0.5,0.5,Automated Curriculum Learning Demo_31
387.0,NCCCN=c1cccc(-c2cccs2)[nH]1,NCCCN=c1cccc(-c2cccs2)[nH]1,,0.5,0.5,Automated Curriculum Learning Demo_32
387.0,c1ccc(-n2nccn2)cc1,c1ccc(-n2nccn2)cc1,,0.5,0.5,Automated Curriculum Learning Demo_33
387.0,O=C(c1ccccc1)c1ncccn1,O=C(c1ccccc1)c1ncccn1,,0.5,0.5,Automated Curriculum Learning Demo_34
387.0,c1cnc2ncnn2c1,c1cnc2ncnn2c1,,0.5,0.5,Automated Curriculum Learning Demo_35
387.0,c1cnc2nccnc2c1,c1cnc2nccnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_36
387.0,c1cnn2ccnc2c1,c1cnn2ccnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_37
387.0,c1cnc2cccnc2c1,c1cnc2cccnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_38
387.0,c1cncc(-c2cc3ncccc3o2)c1,c1cncc(-c2cc3ncccc3o2)c1,,0.5,0.5,Automated Curriculum Learning Demo_39
387.0,c1ccn2ccnc2c1,c1ccn2ccnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_40
387.0,c1cnn2nnnc2c1,c1cnn2nnnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_41
387.0,c1cnc2sccc2c1,c1cnc2sccc2c1,,0.5,0.5,Automated Curriculum Learning Demo_42
387.0,Oc1c2c(c(O)n1-c1ccoc1)C1C=CC2C1,Oc1c2c(c(O)n1-c1ccoc1)C1C=CC2C1,,0.5,0.5,Automated Curriculum Learning Demo_43
387.0,c1cnc2c(c1)ccc1nccn12,c1cnc2c(c1)ccc1nccn12,,0.5,0.5,Automated Curriculum Learning Demo_44
387.0,Cc1onc2cccnc12,Cc1onc2cccnc12,,0.5,0.5,Automated Curriculum Learning Demo_45
387.0,c1cnc2nc[nH]c2c1,c1cnc2nc[nH]c2c1,,0.5,0.5,Automated Curriculum Learning Demo_46
387.0,c1cn2ccnc2cn1,c1cn2ccnc2cn1,,0.5,0.5,Automated Curriculum Learning Demo_47
387.0,Cc1cc2ncccc2o1,Cc1cc2ncccc2o1,,0.5,0.5,Automated Curriculum Learning Demo_48
387.0,c1cncc(-c2n[nH]c3cc(-c4cnco4)ccc23)c1,c1cncc(-c2n[nH]c3cc(-c4cnco4)ccc23)c1,,0.5,0.5,Automated Curriculum Learning Demo_49
387.0,CC(=O)OC1CCC2C(=O)C1(C)C(O)C2C,CC(=O)OC1CCC2C(=O)C1(C)C(O)C2C,,0.5,0.5,Automated Curriculum Learning Demo_50
387.0,CCN1c2ccccc2C(c2ccccc2)=Nc2cccnc21,CCN1c2ccccc2C(c2ccccc2)=Nc2cccnc21,,0.5,0.5,Automated Curriculum Learning Demo_51
387.0,O=c1ccsn1-c1ccccc1,O=c1ccsn1-c1ccccc1,,0.5,0.5,Automated Curriculum Learning Demo_52
387.0,c1ccc2ncccc2c1,c1ccc2ncccc2c1,,0.5,0.5,Automated Curriculum Learning Demo_53
387.0,N#CC(c1nc2ccccc2[nH]1)c1nc2ccccc2s1,N#CC(c1nc2ccccc2[nH]1)c1nc2ccccc2s1,,0.5,0.5,Automated Curriculum Learning Demo_54
387.0,c1cnc2ccncc2c1,c1cnc2ccncc2c1,,0.5,0.5,Automated Curriculum Learning Demo_55
387.0,N=c1[nH]oc2ccccc12,N=c1[nH]oc2ccccc12,,0.5,0.5,Automated Curriculum Learning Demo_56
387.0,c1cnc2c(c1)ccc1ncccc12,c1cnc2c(c1)ccc1ncccc12,,0.5,0.5,Automated Curriculum Learning Demo_57
387.0,O=S(=O)(N=c1cc[nH]cn1)c1ccc2c(-c3cc(F)cc(F)c3)nccc2c1,O=S(=O)(N=c1cc[nH]cn1)c1ccc2c(-c3cc(F)cc(F)c3)nccc2c1,,0.5,0.5,Automated Curriculum Learning Demo_58
387.0,c1ccn2ncnc2c1,c1ccn2ncnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_59
387.0,COc1ccc2cc(C(=N)N)ccc2c1,COc1ccc2cc(C(=N)N)ccc2c1,,0.5,0.5,Automated Curriculum Learning Demo_60
387.0,c1cncnc1,c1cncnc1,,0.5,0.5,Automated Curriculum Learning Demo_61
387.0,Fc1ccc(Sc2c[nH]c3cccnc23)cc1,Fc1ccc(Sc2c[nH]c3cccnc23)cc1,,0.5,0.5,Automated Curriculum Learning Demo_62
387.0,O=c1scnc2cccnc12,O=c1scnc2cccnc12,,0.5,0.5,Automated Curriculum Learning Demo_63
387.0,O=C(O)C1Cc2ccsc2CN1,O=C(O)C1Cc2ccsc2CN1,,0.5,0.5,Automated Curriculum Learning Demo_64
387.0,c1cnc2ccnnc2c1,c1cnc2ccnnc2c1,,0.5,0.5,Automated Curriculum Learning Demo_65
